sku;marca;capacidade_btu;ciclo;familia_linha_refinada;edicao;voltagem;sku_canonico;n_pricetrack
FACST12F-02;AGRATTO;12000;FRIO;AGRATTO-FIT-TOP-12000-F;Fit Top;220V;FACST12F-02;1050
FACS18F;AGRATTO;18000;FRIO;AGRATTO-FIT-TOP-18000-F;Fit Top;220V;FACS18F;2082
LCST12F;AGRATTO;12000;FRIO;AGRATTO-LIV-TOP-12000-F;Liv Top;220V;LCST12F;7096
LCST12QF;AGRATTO;12000;QUENTE/FRIO;AGRATTO-LIV-TOP-12000-QF;Liv Top;220V;LCST12QF;2641
LCST18F-02I;AGRATTO;18000;FRIO;AGRATTO-LIV-TOP-18000-F;Liv Top;220V;LCST18F-02I;6762
LCST18QF;AGRATTO;18000;QUENTE/FRIO;AGRATTO-LIV-TOP-18000-QF;Liv Top;220V;LCST18QF;8571
LCST24F;AGRATTO;24000;FRIO;AGRATTO-LIV-TOP-24000-F;Liv Top;220V;LCST24F;6947
LCST24QF;AGRATTO;24000;QUENTE/FRIO;AGRATTO-LIV-TOP-24000-QF;Liv Top;220V;LCST24QF;3943
LCST9F;AGRATTO;9000;FRIO;AGRATTO-LIV-TOP-9000-F;Liv Top;220V;LCST9F;7417
LCST9QF;AGRATTO;9000;QUENTE/FRIO;AGRATTO-LIV-TOP-9000-QF;Liv Top;220V;LCST9QF;5527
ACST12F;AGRATTO;12000;FRIO;AGRATTO-ONE-TOP-12000-F;One Top;110V;ACST12F;1761
ACST12F-02;AGRATTO;12000;FRIO;AGRATTO-ONE-TOP-12000-F;One Top;220V;ACST12F-02;740
ACS30FIR4-02;AGRATTO;30000;FRIO;AGRATTO-ONE-TOP-30000-F;One Top;220V;ACS30FIR4-02;40
ACST9F;AGRATTO;9000;FRIO;AGRATTO-ONE-TOP-9000-F;One Top;220V;ACST9F;2074
UI12F;ELECTROLUX;12000;FRIO;ELECTROLUX-COLOR-ADAPT-12000-F;Color Adapt;220V;UI12F;3406
QI12F;ELECTROLUX;12000;FRIO;ELECTROLUX-COLOR-ADAPT-12000-F;Color Adapt;220V;UI12F;1305
JI18F/JE18F;ELECTROLUX;18000;FRIO;ELECTROLUX-COLOR-ADAPT-18000-F;Color Adapt;;UI18F;2862
UI18F;ELECTROLUX;18000;FRIO;ELECTROLUX-COLOR-ADAPT-18000-F;Color Adapt;220V;UI18F;5224
JI18R/JE18R;ELECTROLUX;18000;QUENTE/FRIO;ELECTROLUX-COLOR-ADAPT-18000-QF;Color Adapt;;JI18R/JE18R;1949
UI18R/UE18R;ELECTROLUX;18000;QUENTE/FRIO;ELECTROLUX-COLOR-ADAPT-18000-QF;Color Adapt;;JI18R/JE18R;1300
UI24R/UE24R;ELECTROLUX;23000;QUENTE/FRIO;ELECTROLUX-COLOR-ADAPT-23000-QF;Color Adapt;;UI24R/UE24R;722
JI24F/JE24F;ELECTROLUX;24000;FRIO;ELECTROLUX-COLOR-ADAPT-24000-F;Color Adapt;;UI24F;2481
UI24F;ELECTROLUX;24000;FRIO;ELECTROLUX-COLOR-ADAPT-24000-F;Color Adapt;220V;UI24F;2548
JI24R/JE24R;ELECTROLUX;24000;QUENTE/FRIO;ELECTROLUX-COLOR-ADAPT-24000-QF;Color Adapt;;JI24R/JE24R;1892
JI09F/JE09F;ELECTROLUX;9000;FRIO;ELECTROLUX-COLOR-ADAPT-9000-F;Color Adapt;;UI09F;2424
UI09F;ELECTROLUX;9000;FRIO;ELECTROLUX-COLOR-ADAPT-9000-F;Color Adapt;220V;UI09F;4317
JI09R/JE09R;ELECTROLUX;9000;QUENTE/FRIO;ELECTROLUX-COLOR-ADAPT-9000-QF;Color Adapt;;QI09R;1632
QI09R;ELECTROLUX;9000;QUENTE/FRIO;ELECTROLUX-COLOR-ADAPT-9000-QF;Color Adapt;220V;QI09R;2833
45HIFI12C2WA;ELGIN;12000;FRIO;ELGIN-ECO-DREAM-12000-F;Eco Dream;220V;45HIFI12C2WA;5118
HIFI24C2WA/HIFE24C2CA;ELGIN;24000;FRIO;ELGIN-ECO-DREAM-24000-F;Eco Dream;;HIFI24C2WA/HIFE24C2CA;766
45HIQI24C2WA;ELGIN;24000;QUENTE/FRIO;ELGIN-ECO-DREAM-24000-QF;Eco Dream;220V;45HIQI24C2WA;1170
45HJFI09C2WB;ELGIN;9000;FRIO;ELGIN-ECO-DREAM-9000-F;Eco Dream;110V;45HJFI09C2WB;3846
HJFI24C2WB;ELGIN;24000;FRIO;ELGIN-ECO-INVERTER-24000-F;Eco Inverter;220V;HJFI24C2WB;1249
HJFI12C2WB;ELGIN;12000;FRIO;ELGIN-ECO-INVERTER-II-12000-F;Eco Inverter II;220V;HJFI12C2WB;2934
HJQI12C2WC;ELGIN;12000;QUENTE/FRIO;ELGIN-ECO-INVERTER-II-12000-QF;Eco Inverter II;220V;HJQI12C2WC;388
45HJFI18C2WC;ELGIN;18000;FRIO;ELGIN-ECO-INVERTER-II-18000-F;Eco Inverter II;220V;45HJFI18C2WC;7814
45HJQI18C2WC;ELGIN;18000;QUENTE/FRIO;ELGIN-ECO-INVERTER-II-18000-QF;Eco Inverter II;220V;45HJQI18C2WC;3201
HJQI18C2WB;ELGIN;18000;QUENTE/FRIO;ELGIN-ECO-INVERTER-II-18000-QF;Eco Inverter II;220V;45HJQI18C2WC;2222
HJFI24C2WC;ELGIN;24000;FRIO;ELGIN-ECO-INVERTER-II-24000-F;Eco Inverter II;220V;HJFI24C2WC;5383
HJQI24C2WB;ELGIN;24000;QUENTE/FRIO;ELGIN-ECO-INVERTER-II-24000-QF;Eco Inverter II;220V;HJQI24C2WC;1514
HJQI24C2WC;ELGIN;24000;QUENTE/FRIO;ELGIN-ECO-INVERTER-II-24000-QF;Eco Inverter II;220V;HJQI24C2WC;8816
HJFI09C2WC;ELGIN;9000;FRIO;ELGIN-ECO-INVERTER-II-9000-F;Eco Inverter II;220V;HJFI09C2WC;6264
HJQI09C2WB;ELGIN;9000;QUENTE/FRIO;ELGIN-ECO-INVERTER-II-9000-QF;Eco Inverter II;110V;HJQI09C2WB;432
HJQI09C2WC;ELGIN;9000;QUENTE/FRIO;ELGIN-ECO-INVERTER-II-9000-QF;Eco Inverter II;220V;HJQI09C2WC;3426
HJFI12C2IA;ELGIN;12000;FRIO;ELGIN-ECO-INVERTER-III-12000-F;Eco Inverter III;220V;HJFI12C2WD;1206
HJFI12C2WC;ELGIN;12000;FRIO;ELGIN-ECO-INVERTER-III-12000-F;Eco Inverter III;220V;HJFI12C2WD;3950
HJFI12C2WD;ELGIN;12000;FRIO;ELGIN-ECO-INVERTER-III-12000-F;Eco Inverter III;220V;HJFI12C2WD;5205
HJQI12C2IA;ELGIN;12000;QUENTE/FRIO;ELGIN-ECO-INVERTER-III-12000-QF;Eco Inverter III;220V;HJQI12C2IA;1041
HJQI12C2WD;ELGIN;12000;QUENTE/FRIO;;;220V;HJQI12C2WD;764
HVFI09B2IB/HVFE09B2NB;ELGIN;9000;FRIO;;;220V;HVFI09B2IB/HVFE09B2NB;768
GWC24ATD-D6DNA2A;GREE;24000;FRIO;GREE-G-CLIMA-24000-F;G-Clima;;GWC24ATD-D6DNA2A;1129
GWC27ATE-D6DNA2A;GREE;27000;FRIO;GREE-G-CLIMA-27000-F;G-Clima;220V;GWC27ATE-D6DNA2A;1183
GWC09ATA-D6DNA2C;GREE;9000;FRIO;GREE-G-CLIMA-9000-F;G-Clima;220V;GWC09ATA-D6DNA2C;2196
GWC12ACC-D6DNA1A;GREE;12000;FRIO;GREE-G-DIAMOND-12000-F;G-Diamond;220V;GWC12ACC-D6DNA1A;3791
GWC18ACD-D3DNA1B;GREE;18000;FRIO;GREE-G-DIAMOND-18000-F;G-Diamond;;GWC18ACD-D3DNA1B;132
GWH18ACD;GREE;18000;QUENTE/FRIO;GREE-G-DIAMOND-18000-QF;G-Diamond;;GWH18ACD;990
GWC12ATC-D6DNA1A;GREE;12000;FRIO;GREE-G-TOP-AUTO-12000-F;G-Top Auto;220V;GWC12ATC-D6DNA1A;4339
GWH12AGC;GREE;12000;QUENTE/FRIO;GREE-G-TOP-AUTO-12000-QF;G-Top Auto;;GWH12ATC;1304
GWH12ATC;GREE;12000;QUENTE/FRIO;GREE-G-TOP-AUTO-12000-QF;G-Top Auto;220V;GWH12ATC;4988
GWC18AGD;GREE;18000;FRIO;GREE-G-TOP-AUTO-18000-F;G-Top Auto;;GWC18ATD;494
GWC18ATD;GREE;18000;FRIO;GREE-G-TOP-AUTO-18000-F;G-Top Auto;220V;GWC18ATD;10173
GWH18AGD;GREE;18000;QUENTE/FRIO;GREE-G-TOP-AUTO-18000-QF;G-Top Auto;220V;GWH18ATD;722
GWH18ATD;GREE;18000;QUENTE/FRIO;GREE-G-TOP-AUTO-18000-QF;G-Top Auto;220V;GWH18ATD;7833
GWH24AGE;GREE;22000;QUENTE/FRIO;GREE-G-TOP-AUTO-22000-QF;G-Top Auto;220V;GWH24AGE;1729
GWC24ATE;GREE;24000;FRIO;GREE-G-TOP-AUTO-24000-F;G-Top Auto;220V;GWC24ATE;4515
GWH24ATE;GREE;24000;QUENTE/FRIO;GREE-G-TOP-AUTO-24000-QF;G-Top Auto;220V;GWH24ATE;5725
GWC30ATE;GREE;30000;FRIO;GREE-G-TOP-AUTO-30000-F;G-Top Auto;220V;GWC30ATE;4113
GWH30AGE;GREE;30000;QUENTE/FRIO;GREE-G-TOP-AUTO-30000-QF;G-Top Auto;220V;GWH30ATEXF-S6DNA1A;694
GWH30ATEXF-S6DNA1A;GREE;30000;QUENTE/FRIO;GREE-G-TOP-AUTO-30000-QF;G-Top Auto;220V;GWH30ATEXF-S6DNA1A;1125
GWC09AGA;GREE;9000;FRIO;GREE-G-TOP-AUTO-9000-F;G-Top Auto;220V;GWC09ATB-D6DNA1A;2550
GWC09ATB-D6DNA1A;GREE;9000;FRIO;GREE-G-TOP-AUTO-9000-F;G-Top Auto;220V;GWC09ATB-D6DNA1A;6367
GWH09ATA;GREE;9000;QUENTE/FRIO;GREE-G-TOP-AUTO-9000-QF;G-Top Auto;110V;GWH09ATA;416
GWH09ATB-D6DNA1A;GREE;9000;QUENTE/FRIO;GREE-G-TOP-AUTO-9000-QF;G-Top Auto;220V;GWH09ATB-D6DNA1A;4394
GWC12ATBXA-D6DNA1A;GREE;12000;FRIO;;;220V;GWC12ATBXA-D6DNA1A;542
GWC12QC-D3NNB4A;GREE;12000;QUENTE/FRIO;;;;GWC12QC-D3NNB4A;107
AS-18TW2RMATT02E;HISENSE;18000;FRIO;;;220V;AS-18TW2RMATT02E;301
S3-W121L1C0;LG;12000;QUENTE/FRIO;LG-DUAL-INVERTER-12000-QF;Dual Inverter;220V;S3-W121L1C0;507
S4-Q12JA315;LG;12000;FRIO;LG-DUAL-INVERTER-AI-VOICE-12000-F;Dual Inverter AI Voice;220V;S3-Q12JA31K;4876
S4-Q12JA31C;LG;12000;FRIO;LG-DUAL-INVERTER-AI-VOICE-12000-F;Dual Inverter AI Voice;220V;S3-Q12JA31K;91
S3-Q12JA31E;LG;12000;FRIO;LG-DUAL-INVERTER-AI-VOICE-12000-F;Dual Inverter AI Voice;220V;S3-Q12JA31K;2896
S3-Q12JA31K;LG;12000;FRIO;LG-DUAL-INVERTER-AI-VOICE-12000-F;Dual Inverter AI Voice;220V;S3-Q12JA31K;6744
S3-W12JA31A;LG;12000;QUENTE/FRIO;LG-DUAL-INVERTER-AI-VOICE-12000-QF;Dual Inverter AI Voice;220V;S3-W12JA31A;10620
S3-Q18KL33B;LG;18000;FRIO;LG-DUAL-INVERTER-AI-VOICE-18000-F;Dual Inverter AI Voice;220V;S4-Q18KL31B;2030
S4-Q18KL31B;LG;18000;FRIO;LG-DUAL-INVERTER-AI-VOICE-18000-F;Dual Inverter AI Voice;220V;S4-Q18KL31B;3905
S3-W18KL31A;LG;18000;QUENTE/FRIO;LG-DUAL-INVERTER-AI-VOICE-18000-QF;Dual Inverter AI Voice;220V;S3-W18KL31A;7277
S4-W18KL31A;LG;18000;QUENTE/FRIO;LG-DUAL-INVERTER-AI-VOICE-18000-QF;Dual Inverter AI Voice;220V;S3-W18KL31A;1907
S4-Q24K231E;LG;24000;FRIO;LG-DUAL-INVERTER-AI-VOICE-24000-F;Dual Inverter AI Voice;220V;S4-Q24K231E;1857
S4-W24K231D;LG;24000;QUENTE/FRIO;LG-DUAL-INVERTER-AI-VOICE-24000-QF;Dual Inverter AI Voice;220V;S4-W24K231D;1551
S4-W30L43FA;LG;30000;QUENTE/FRIO;LG-DUAL-INVERTER-AI-VOICE-30000-QF;Dual Inverter AI Voice;220V;S4-W30L43FA;7407
S3-Q09JA31E;LG;9000;FRIO;LG-DUAL-INVERTER-AI-VOICE-9000-F;Dual Inverter AI Voice;220V;S3-Q09AA31A;5257
S3-Q09AA31F;LG;9000;FRIO;LG-DUAL-INVERTER-AI-VOICE-9000-F;Dual Inverter AI Voice;220V;S3-Q09AA31A;264
S4-Q09AA31B;LG;9000;FRIO;LG-DUAL-INVERTER-AI-VOICE-9000-F;Dual Inverter AI Voice;;S3-Q09AA31A;4243
S3-Q09AA31A;LG;9000;FRIO;LG-DUAL-INVERTER-AI-VOICE-9000-F;Dual Inverter AI Voice;220V;S3-Q09AA31A;9224
S3-Q09AA31C;LG;9000;FRIO;LG-DUAL-INVERTER-AI-VOICE-9000-F;Dual Inverter AI Voice;220V;S3-Q09AA31A;3286
S3-Q09AA33A;LG;9000;FRIO;LG-DUAL-INVERTER-AI-VOICE-9000-F;Dual Inverter AI Voice;220V;S3-Q09AA31A;1527
S3-W09AA31C;LG;9000;QUENTE/FRIO;LG-DUAL-INVERTER-AI-VOICE-9000-QF;Dual Inverter AI Voice;220V;S3-W09AA31C;6390
S3-W12JAR7A;LG;12000;QUENTE/FRIO;LG-DUAL-INVERTER-ARTCOOL-12000-QF;Dual Inverter ARTCOOL;220V;S3-W12JAR7A;7638
S3-Q18KLR1B;LG;18000;QUENTE/FRIO;LG-DUAL-INVERTER-ARTCOOL-18000-QF;Dual Inverter ARTCOOL;220V;S3-W18KLR7A;2014
S3-W18KLR7A;LG;18000;QUENTE/FRIO;LG-DUAL-INVERTER-ARTCOOL-18000-QF;Dual Inverter ARTCOOL;220V;S3-W18KLR7A;6152
S4-W18KLRXC;LG;18000;QUENTE/FRIO;LG-DUAL-INVERTER-ARTCOOL-18000-QF;Dual Inverter ARTCOOL;220V;S3-W18KLR7A;2940
S3-W24K2R7A;LG;24000;QUENTE/FRIO;LG-DUAL-INVERTER-ARTCOOL-24000-QF;Dual Inverter ARTCOOL;220V;S3-W24K2R7A;5883
S4-W24K2RXD;LG;24000;QUENTE/FRIO;LG-DUAL-INVERTER-ARTCOOL-24000-QF;Dual Inverter ARTCOOL;220V;S3-W24K2R7A;994
S3-Q12JA31B;LG;12000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-12000-F;Dual Inverter Compact +AI;110V;S3-Q12JA31B;4960
S3-Q12JA31L;LG;12000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-12000-F;Dual Inverter Compact +AI;220V;S3-Q12JAQAL;412
S3-Q12JAQAL;LG;12000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-12000-F;Dual Inverter Compact +AI;220V;S3-Q12JAQAL;6826
S4-Q12JA3A5;LG;12000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-12000-F;Dual Inverter Compact +AI;220V;S3-Q12JAQAL;325
S4-Q12JA3AD;LG;12000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-12000-F;Dual Inverter Compact +AI;220V;S3-Q12JAQAL;4137
S3-W12JAQAL;LG;12000;QUENTE/FRIO;LG-DUAL-INVERTER-COMPACT-AI-12000-QF;Dual Inverter Compact +AI;220V;S3-W12JAQAL;1904
S3-Q18KL31B;LG;18000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-18000-F;Dual Inverter Compact +AI;220V;S3-Q18KLQAL;7521
S3-Q18KLQAL;LG;18000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-18000-F;Dual Inverter Compact +AI;220V;S3-Q18KLQAL;9158
S3-W18KLQAL;LG;18000;QUENTE/FRIO;LG-DUAL-INVERTER-COMPACT-AI-18000-QF;Dual Inverter Compact +AI;;S3-W18KLQAL;3153
S3-Q24K231B;LG;24000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-24000-F;Dual Inverter Compact +AI;220V;S3-Q24K231B;8568
S3-W24K231A;LG;24000;QUENTE/FRIO;LG-DUAL-INVERTER-COMPACT-AI-24000-QF;Dual Inverter Compact +AI;220V;S3-W24K231A;5441
S3-Q09AAQAK;LG;9000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-9000-F;Dual Inverter Compact +AI;220V;S3-Q09AAQAK;4344
S4-Q09WA5AA;LG;9000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-9000-F;Dual Inverter Compact +AI;220V;S3-Q09AAQAK;1355
S3-Q09AAQAL;LG;9000;FRIO;LG-DUAL-INVERTER-COMPACT-AI-9000-F;Dual Inverter Compact +AI;220V;S3-Q09AAQAK;3225
S3-W09AAQAL;LG;9000;QUENTE/FRIO;LG-DUAL-INVERTER-COMPACT-AI-9000-QF;Dual Inverter Compact +AI;220V;S3-W09AAQAL;733
42AFFCI12S5;MIDEA;12000;FRIO;MIDEA-AI-AIRVOLUTION-12000-F;AI Airvolution;220V;42AFVCI12S5;6004
42AFVCI12S5;MIDEA;12000;FRIO;MIDEA-AI-AIRVOLUTION-12000-F;AI Airvolution;220V;42AFVCI12S5;8380
42EFVCA12M5;MIDEA;12000;FRIO;MIDEA-AI-AIRVOLUTION-12000-F;AI Airvolution;220V;42AFVCI12S5;4756
